title,host_is_superhost,neighbourhood,city,state,zipcode,latitude,longitude,property_type,price,has_availability,number_of_reviews
LOWER QUEEN ANNE STUDIO W/PATIO,f,Queen Anne,Seattle,WA,98119,47.628343869748100,-122.36640542138000,Apartment,100.00,t,20
Queen Anne Craftsman,f,Queen Anne,Seattle,WA,98119,47.63539394059410,-122.36899114110700,Bungalow,349.00,t,0
Queen Anne Hill Craftsman studio,f,Queen Anne,Seattle,WA,98119,47.63803515893720,-122.36091010563600,Bungalow,110.00,t,3
Craftsman House Near Everything,f,Queen Anne,Seattle,WA,98119,47.63933158548950,-122.36159942269500,House,160.00,t,1
Seattle Backyard Cottage-Queen Anne,f,Queen Anne,Seattle,WA,98119,47.635308051455400,-122.36653170901200,House,130.00,t,26
:: Carriage House :: Queen Anne ::,f,Queen Anne,Seattle,WA,98119,47.637374884138500,-122.36941092468900,House,99.00,t,2
STUDIO APARTMENT WITH A VIEW,f,,Seattle,WA,98119,47.63829756707330,-122.37377871072100,Apartment,100.00,t,0
Top Floor Apt. W/ Spectacular View!,f,Queen Anne,Seattle,WA,98119,47.63175343884970,-122.37127173011600,Apartment,137.00,t,3
"Cozy, cute, Queen Anne living",f,Queen Anne,Seattle,WA,98119,47.63858056073180,-122.3753257408230,Apartment,20.00,t,0
"Beautiful, Modern Townhouse",f,Queen Anne,Seattle,WA,98119,47.63788372174490,-122.3673710937780,Townhouse,150.00,t,0
Located in the heart of Queen Anne,f,Queen Anne,Seattle,WA,98119,47.63751734544930,-122.36081167446400,Apartment,145.00,t,44
Cozy room in Modern Queen Anne Home,f,Queen Anne,Seattle,WA,98119,47.63687417802140,-122.37227171191200,Townhouse,80.00,t,10
Stand alone Guest Cottage,t,Queen Anne,Seattle,WA,98119,47.632562742655700,-122.36722284674100,House,95.00,t,77
Beautiful West Queen Anne Craftsman,f,Queen Anne,Seattle,WA,98119,47.63532192210430,-122.36612114800700,House,400.00,t,0
Bright & Airy room w/ 1M views,f,Queen Anne,Seattle,WA,98119,47.63263390932940,-122.36931844777400,House,85.00,t,2
Private room in upper QA w/ view!,f,Queen Anne,Seattle,WA,98119,47.63260003819550,-122.36995243412600,Apartment,70.00,t,1
Suite Garage on Queen Anne,t,Queen Anne,Seattle,WA,98119,47.64105215050510,-122.37508173306400,Apartment,90.00,t,109
Peaceful Queen Anne Getaway,f,Queen Anne,Seattle,WA,98119,47.63140094589970,-122.3676901333060,House,80.00,t,52
Hand crafted Gypsy Wagon with heart,t,Queen Anne,Seattle,WA,98119,47.64152492560980,-122.37615037245100,Camper/RV,60.00,t,191
Cozy 2 BR/1 BA Queen Anne Home,f,Queen Anne,Seattle,WA,98119,47.635310702971800,-122.36350557505100,House,175.00,t,0
"Modern Townhouse, Heart of Ballard!",f,,Seattle,WA,98107,47.669327174719700,-122.39259356469400,House,170.00,t,9
Cozy Ballard Apartment,f,Ballard,Seattle,WA,98107,47.674074155575400,-122.39386405032900,Apartment,85.00,t,65
Plum Modern - 5 bdrm Tranquility,t,Ballard,Seattle,WA,98107,47.67362807262790,-122.38930195133100,House,465.00,t,5
1BR-Ultra Hip Ballard-Walk to Bars!,f,Ballard,Seattle,WA,98107,47.6684599605579,-122.37951599522200,Apartment,175.00,t,5
Cozy BR in heart of lively Ballard,f,,Seattle,WA,98107,47.670662322939700,-122.37866592236700,Condominium,50.00,t,0
"Modern, Cozy 1 Bedroom Apartment",f,Ballard,Seattle,WA,98107,47.67264618041160,-122.38933302722600,Apartment,60.00,t,0
Urban cottage in heart of Ballard,f,Ballard,Seattle,WA,98107,47.67317538409770,-122.38225959936200,House,59.00,t,16
**Be in the MIDDLE OF EVERYTHING!*,f,Ballard,Seattle,WA,98107,47.66793300136610,-122.37865246762100,Apartment,47.00,t,23
Cute Cottage in Sunny Ballard,f,Ballard,Seattle,WA,98107,47.67296864487420,-122.39733818247200,House,145.00,t,45
Two blocks from downtown Ballard,f,Ballard,Seattle,WA,98107,47.66862741947890,-122.3894959253680,House,70.00,t,75
"Cozy Private Room, Bath and Patio",f,Ballard,Seattle,WA,98107,47.67011138347180,-122.39386928567700,House,55.00,t,86
Ballard Artist's Studio,t,Ballard,Seattle,WA,98107,47.671690500882100,-122.38523906517400,House,95.00,t,151
Historic Ballard House,f,Ballard,Seattle,WA,98107,47.67083617832090,-122.39253711071100,House,125.00,t,6
Nautical Bedroom in Modern House,f,Ballard,Seattle,WA,98107,47.67088677445990,-122.39302934993700,House,65.00,t,16
Pull out couch in garage,f,Ballard,Seattle,WA,98107,47.67011497066790,-122.39299444305800,House,25.00,t,0
Tiny Ballard House Near Transit,f,Ballard,Seattle,WA,98107,47.67430793211150,-122.37674229799000,House,40.00,t,0
Bunkhouse Topbunk/Airstream Retreat,f,Ballard,Seattle,WA,98107,47.67125039125340,-122.38263911755700,House,149.00,t,165
Sweet Ballard Apartment for Two,t,Ballard,Seattle,WA,98107,47.6686920575291,-122.39608935555300,Apartment,125.00,t,48
Charming Old Ballard Bungalow (2/2),f,Ballard,Seattle,WA,98107,47.67180552427680,-122.38804711763300,House,55.00,t,0
Ballard Victorian 900 sq ft apt,t,Ballard,Seattle,WA,98107,47.671418402651000,-122.38538535838500,Apartment,129.00,t,2
"One-bedroom Apartment, Ballard",f,Ballard,Seattle,WA,98107,47.66874895490850,-122.38386997628200,Apartment,100.00,t,0
Beautiful Ballard condo with view!,t,Ballard,Seattle,WA,98107,47.67268172430130,-122.38773072437900,Apartment,150.00,t,27
Bedroom & private bath in Ballard,f,,Seattle,WA,98107,47.669681845352200,-122.39098847061200,Townhouse,50.00,t,0
2 Bedrm Apt in the heart of Ballard,f,Ballard,Seattle,WA,98117,47.675044037520800,-122.38271491715600,Apartment,99.00,t,0
Pretty Condo in Downtown Ballard,f,Ballard,Seattle,WA,98107,47.66797916893150,-122.38210544982800,Apartment,150.00,t,9
Loft bedroom & art studio,f,Ballard,Seattle,WA,98107,47.67324984968530,-122.38733165189300,Bungalow,105.00,t,0
Chic 3 bed 4 bath Ballard townhome,f,Ballard,Seattle,WA,98107,47.67553326838630,-122.37632401407800,House,218.00,t,0
"Private, clean, spacious Townhome",f,Ballard,Seattle,WA,98117,47.675708114276100,-122.38755942597600,House,80.00,t,88
Victorian Charm in Heart of Ballard,f,Ballard,Seattle,WA,98107,47.674771027028100,-122.38583049183900,Apartment,126.00,t,10
Modern Ballard Apt 4 Tech Travlers,f,Ballard,Seattle,WA,98107,47.669874319189500,-122.38771744417000,Apartment,115.00,t,5
Modern family home in Old Ballard,f,Ballard,Seattle,WA,98107,47.670975763542900,-122.38782530429900,Apartment,225.00,t,10
Cottage in the Heart of Ballard,t,Ballard,Seattle,WA,98107,47.67333938829470,-122.39512028203800,Cabin,89.00,t,244
Ballard Townhome - Pet Friendly!,f,Ballard,Seattle,WA,98107,47.67100488663870,-122.38138141804400,House,225.00,t,1
Ballard Cottage with Loft,f,Ballard,Seattle,WA,98107,47.67170353055550,-122.37633810114100,House,50.00,t,0
Plum Apartment,t,Ballard,Seattle,WA,98107,47.67175997191880,-122.39002012191000,Apartment,134.00,t,40
Spacious Ballard Apt: Walk to All!,f,Ballard,Seattle,WA,98107,47.67481867247340,-122.38752123193500,Apartment,75.00,t,2
Pvt. Entrance Bedroom&Bath-Ballard,f,Ballard,Seattle,WA,98107,47.673004006803300,-122.38500476109100,House,65.00,t,46
Ballard Townhouse Near The Locks,f,Ballard,Seattle,WA,98107,47.670394534161600,-122.39389700139700,House,375.00,t,23
"Ballard, Seattle Cozy Studio Apt.",t,Ballard,Seattle,WA,98107,47.67582151758450,-122.38971013062900,House,97.00,t,44
Condo in Hip Ballard WALK,t,Ballard,Seattle,WA,98107,47.67228446216900,-122.38231353832000,Condominium,145.00,t,14
Renovated 2 bedroom in old Ballard,t,Ballard,Seattle,WA,98107,47.672272372442900,-122.38413221284100,Apartment,129.00,t,12
Large Home in Historical Ballard,f,Ballard,Seattle,WA,98107,47.67575024473940,-122.37657992996300,House,197.00,t,1
 Ballard Garden Apartment,t,Ballard,Seattle,WA,98107,47.67260212498740,-122.38844149131700,Apartment,120.00,t,25
Entire artist's  apt in hip hood,t,Ballard,Seattle,WA,98107,47.66676678367040,-122.3812426518730,Apartment,200.00,t,35
Spacious condo with gorgeous views,f,Ballard,Seattle,WA,98117,47.67550084177060,-122.38890631386700,Apartment,135.00,t,5
Large bright room & TV in Seattle,t,,Seattle,WA,98107,47.675757643265100,-122.37879830487700,House,70.00,t,31
Apartment in Downtown Ballard,f,Ballard,Seattle,WA,98107,47.66780058682700,-122.38830016297300,Apartment,150.00,t,7
Urban Oasis in the Heart of Ballard,f,Ballard,Seattle,WA,98107,47.669371290094400,-122.37628776467500,Apartment,200.00,t,4
Master in Modern Townhouse,f,Ballard,Seattle,WA,98107,47.668960875803300,-122.39387694463300,Townhouse,60.00,t,16
Classic old Ballard home,f,Ballard,Seattle,WA,98107,47.67168770578300,-122.3925585891840,House,180.00,t,1
Private bedroom in heart of Ballard,f,Ballard,Seattle,WA,98107,47.67180998159060,-122.38343718053800,Apartment,69.00,t,8
Party Central Studio on Ballard Ave,f,Ballard,Seattle,WA,98107,47.66502232989990,-122.38279676983000,Apartment,90.00,t,1
Nice 1 bedroom apartment in Ballard,f,,Seattle,WA,98107,47.66898920822730,-122.39514528093300,Apartment,80.00,t,5
Private room & bath- Ballard,f,Ballard,Seattle,WA,98107,47.669354303139600,-122.39034762933300,Townhouse,65.00,t,0
Cute Cozy Townhome in Old Ballard,t,Ballard,Seattle,WA,98107,47.67166567877920,-122.37791232634300,House,150.00,t,26
Ballard Bunkhouse - Bottom Bunk,f,Ballard,Seattle,WA,98107,47.67058142200580,-122.3822111614970,House,195.00,t,113
Charming Ballard Apartment,f,Ballard,Seattle,WA,98107,47.67210896416090,-122.38358854815400,Apartment,149.00,t,0
Foodie Paradise near DT Seattle ,t,Ballard,Seattle,WA,98107,47.671458070061,-122.3791744931500,House,224.00,t,15
Charming 1919 cottage in Ballard,f,Ballard,Seattle,WA,98107,47.671559770588600,-122.38270398820200,House,115.00,t,44
Charming Old Ballard bungalow,f,Ballard,Seattle,WA,98107,47.67283504028540,-122.38747162849500,House,55.00,t,7
Plum House - 4 bdrm Ballard luxury,t,Ballard,Seattle,WA,98107,47.673971287826800,-122.38938054168400,House,338.00,t,13
Victorian in the Heart of Ballard,t,Ballard,Seattle,WA,98107,47.67360709682780,-122.39380285936100,House,79.00,t,44
Private room blocks to DT Ballard,t,Ballard,Seattle,WA,98107,47.669398692211600,-122.38925404053200,House,80.00,t,56
Heart of Ballard private room,f,Ballard,Seattle,WA,98107,47.672176697767200,-122.39036168722600,Townhouse,85.00,t,11
Private 1BR apartment with kitchen,t,Ballard,Seattle,WA,98107,47.673499622784300,-122.38696357012700,House,80.00,t,39
Ballard Loft-crash pad,t,,Seattle,WA,98107,47.66934442551610,-122.38653914653800,Loft,49.00,t,10
Kid friendly townhouse near it all ,f,Ballard,Seattle,WA,98107,47.671921801519800,-122.38065681959400,House,100.00,t,6
Sunny Ballard Near Everthing,f,Ballard,Seattle,WA,98107,47.66934543707650,-122.3969734650870,Apartment,79.00,t,4
Odd Lodging in the Heart of Ballard,t,Ballard,Seattle,WA,98107,47.667463977781900,-122.37825532356000,Apartment,75.00,t,79
Cozy Room in Heart of Ballard,t,Ballard,Seattle,WA,98107,47.67181197349130,-122.38898134331600,House,57.00,t,50
Sweet North Central Flat,f,Ballard,Seattle,WA,98107,47.67082046273360,-122.37051108183800,Apartment,99.00,t,28
Ballard Mid-Century Apartment Room,f,Ballard,Seattle,WA,98107,47.663734403725600,-122.36208010121700,Apartment,55.00,t,20
Fremont View Apartment,f,Ballard,Seattle,WA,98107,47.667596803320100,-122.36470165349700,Apartment,96.00,t,57
 Sunny Ballard Digs,f,Ballard,Seattle,WA,98107,47.670532383123300,-122.3653184658710,House,99.00,t,38
Walk Ballard! Bright Basement 2Bdrm,f,Ballard,Seattle,WA,98107,47.66676677493290,-122.36882353054000,House,79.00,t,71
Modern Classic~Convenient~Priv Home,f,Ballard,Seattle,WA,98107,47.67235397537270,-122.36617489987700,House,115.00,t,17
Modern 3BR Freestanding Townhouse,t,Ballard,Seattle,WA,98107,47.66583686586750,-122.37013230902800,House,350.00,t,13
Brand-New 3BR/3BA Home w/ Roof-View,f,Ballard,Seattle,WA,98107,47.67433308471200,-122.3756779846250,House,295.00,t,3
A Friendly Place in Ballard,t,Ballard,Seattle,WA,98107,47.672691738016600,-122.37355860934400,House,70.00,t,19
Entire Private Floor:Bed&Bath Suite,t,Ballard,Seattle,WA,98117,47.67529056125140,-122.3704740867500,House,53.00,t,18
Rooftop Olympic View 4m Sunny Loft,f,Ballard,Seattle,WA,98107,47.66899339456250,-122.36286030212100,House,110.00,t,12
Ballard Bungalow,f,Phinney Ridge,Seattle,WA,98107,47.66879474989720,-122.36161253562600,House,225.00,t,4
Gorgeous Townhome Private Room,f,Ballard,Seattle,WA,98107,47.673882322093700,-122.37462627764100,House,35.00,t,7
Home sweet home-away-from home!,f,Ballard,Seattle,WA,98107,47.66578734385210,-122.36199230817000,House,55.00,t,23
Gorgeous Townhome Main Bdrm+Balcony,f,Ballard,Seattle,WA,98107,47.672282629807500,-122.37316164543300,Townhouse,45.00,t,2
Ballard studio w kitchen & bath,f,Phinney Ridge,Seattle,WA,98107,47.66835401382790,-122.36113882173000,House,79.00,t,0
Comfort in Ballard/Fremont for 8!,f,Ballard,Seattle,WA,98107,47.66880846075270,-122.3662617896590,House,133.00,t,39
Large room in Ballard neighborhood ,t,Ballard,Seattle,WA,98107,47.66832396295000,-122.37182116588200,Apartment,65.00,t,64
Artists' Retro Duplex in Ballard,f,Ballard,Seattle,WA,98107,47.672372403565800,-122.36284167727300,Apartment,61.00,t,4
La Petite Casa Grande in Fremont,f,Ballard,Seattle,WA,98107,47.66388205553110,-122.36217494637000,House,200.00,t,0
Cozy 1BD in Storybook Ballard Home,f,Ballard,Seattle,WA,98107,47.670928653094900,-122.36678178087100,Apartment,70.00,t,8
BALLARD ART,f,Ballard,Seattle,WA,98107,47.67261671354910,-122.37439272047200,House,52.00,t,14
Artist's Retro Duplex,f,Ballard,Seattle,WA,98107,47.67271727544410,-122.36141713131400,Apartment,50.00,t,1
Gorgeous 4BR 2.5BA Townhome+Balcony,f,Ballard,Seattle,WA,98107,47.67274336154870,-122.37319448871300,Townhouse,275.00,t,0
Ballard 1903 Modern Cottage,t,Ballard,Seattle,WA,98107,47.66454921287360,-122.36820885545100,House,149.00,t,85
Seattle charmer-new remodel-Ballard,f,Ballard,Seattle,WA,98107,47.66658567122090,-122.36565182973300,House,199.00,t,0
Seattle- Ballard Guestsuite -  ,f,Ballard,Seattle,WA,98107,47.67171434029390,-122.36588759794900,Apartment,89.00,t,125
Walkable Seattle 3-bedroom Home,f,Ballard,Seattle,WA,,47.66686785296190,-122.36403130868300,House,225.00,t,121
Large Ballard/Fremont apartment,t,Ballard,Seattle,WA,98107,47.66807053413410,-122.36208615998100,Apartment,120.00,t,131
A Garden Guest House,t,Ballard,Seattle,WA,98107,47.67212368546620,-122.36500937361300,House,85.00,t,49
Townhome Top Floor 2 Bedrms+Balcony,f,Ballard,Seattle,WA,98107,47.67358404078290,-122.37381429203000,House,80.00,t,2
Private Apt. Fremont/Ballard,f,Ballard,Seattle,WA,98107,47.66337838362960,-122.36469149710300,House,89.00,t,28
Vintage Ballard Charm,f,Ballard,Seattle,WA,98107,47.66934138807210,-122.36626412798000,House,99.00,t,111
Seattle Charm,t,,Seattle,WA,98107,47.66493715631800,-122.36167965105000,Apartment,110.00,t,49
Beautiful Phinney/Ballard Retreat,f,Ballard,Seattle,WA,98107,47.66884466698580,-122.36837930645400,House,180.00,t,28
Cozy 2BD Apt in New Brewery Dist .,f,,Seattle,WA,98107,47.66501670356930,-122.36470709008400,Apartment,150.00,t,0
"Ballard One Bedroom, lots of light!",f,Ballard,Seattle,WA,98107,47.668937521955000,-122.37333922721700,Apartment,70.00,t,3
Private Floor - Modern Ballard Home,f,Ballard,Seattle,WA,98107,47.665970022232300,-122.36863925023100,House,70.00,t,0
Private garden room in hip Ballard,f,Ballard,Seattle,WA,98107,47.67431327427620,-122.36796883588300,House,75.00,t,9
Ballard Sunset View with Parking,f,,Seattle,WA,98107,47.66520903071560,-122.36245654108200,Apartment,85.00,t,12
Private Floor in Modern Townhouse,t,Ballard,Seattle,WA,98107,47.6644454546346,-122.3701709809320,House,80.00,t,50
Quiet Backyard Private Apartment,f,Ballard,Seattle,WA,98107,47.6668216771774,-122.36293667267700,Apartment,90.00,t,3
 Private bed/bath in Ballard,t,Ballard,Seattle,WA,98107,47.671222429825900,-122.36368689464100,House,80.00,t,24
The El Rey in Frelard,f,Ballard,Seattle,WA,98107,47.663655490177100,-122.36694111938800,Camper/RV,75.00,t,81
Seattle Escape - Charming 2bdrm,t,Ballard,Seattle,WA,98107,47.67548902955030,-122.36751450938400,Apartment,80.00,t,0
Priv.RM Olympic View 4m Sunny Loft,f,Ballard,Seattle,WA,98107,47.66688717008990,-122.36466408857200,House,70.00,t,19
Spacious Home in Phinney/Ballard ,f,,Seattle,WA,98107,47.673571182372800,-122.36427426098600,House,350.00,t,6
Private Studio - Industrial Ballard,t,Ballard,Seattle,WA,98107,47.66524463768150,-122.37040951426200,Apartment,95.00,t,115
Spacious Room in Zero-Energy House,t,Ballard,Seattle,WA,98107,47.6716795637434,-122.36538980596000,House,90.00,t,72
Craftsman Charmer w/ Stunning Views,f,Fremont,Seattle,WA,98107,47.66624016921080,-122.36091774648500,House,435.00,t,12
3BR Sunny Ballard House,f,Ballard,Seattle,WA,98107,47.67091242440640,-122.36559953129200,House,250.00,t,1
Ballard Artcove ,f,Ballard,Seattle,WA,98107,47.67098702442730,-122.37514055469700,House,65.00,t,31
Enjoy Seattle in Your Mini-Home!,t,Ballard,Seattle,WA,98107,47.66539135407780,-122.36609876374000,House,95.00,t,125
Two Bedroom Suite in Ballard,f,Ballard,Seattle,WA,98107,47.67342403072460,-122.37423278945600,Townhouse,110.00,t,7
Cozy Ballard Craftsman /upper floor,f,Ballard,Seattle,WA,98107,47.67155243448250,-122.36763330550500,House,50.00,t,2
Suite on the Ridge,f,Fremont,Seattle,WA,98107,47.66338811065870,-122.36137836276800,Apartment,95.00,t,0
Modern Ballard/Fremont Cottage,f,Ballard,Seattle,WA,98107,47.663364978177400,-122.36246852511700,House,100.00,t,62
Ballard Basement,f,Ballard,Seattle,WA,98107,47.67076134600550,-122.37109503400900,House,89.00,t,0
Cozy Ballard Cottage - Sleeps 5,t,Ballard,"Ballard, Seattle",WA,98107,47.6759157416881,-122.37047360265600,House,116.00,t,74
Crow's Nest Cottage,f,Ballard,Seattle,WA,98107,47.66365131127360,-122.3620817788270,House,150.00,t,1
"Clean, Spacious, Seattle 3-bedroom!",f,Ballard,Seattle,WA,98107,47.66525243324790,-122.36192069117300,House,275.00,t,107
New Zero-Energy Home in Ballard,t,Ballard,Seattle,WA,98107,47.671334420188000,-122.3657976203190,House,180.00,t,10
Ballard Craftsman Charmer,t,Ballard,Seattle,WA,98107,47.673078213087800,-122.36414012428000,House,97.00,t,155
Ballard home with private rooftop,f,Ballard,Seattle,WA,98107,47.666785348808300,-122.36675142388300,Townhouse,200.00,t,0
Downtown Queen Anne large suite,t,,Seattle,WA,98109,47.631843037300900,-122.34512350364100,House,120.00,t,15
One private bedroom in a large Apt,f,Lower Queen Anne,Seattle,WA,98109,47.62812030680690,-122.34875209868700,Apartment,109.00,t,17
Master Suite - Private Entrance,f,Queen Anne,Seattle,WA,98109,47.643599733762900,-122.34462988872000,Apartment,115.00,t,13
"Modern, Intimate & Iconic City View",t,Lower Queen Anne,Seattle,WA,98109,47.628894791967300,-122.34757144638300,Apartment,199.00,t,13
Relaxing room available,f,Queen Anne,Seattle,WA,98109,47.63899882105630,-122.34357393149700,Apartment,150.00,t,2
Apartment on Lake Union downtown,f,,Seattle,WA,98109,47.639500826233100,-122.3433038877350,Apartment,100.00,t,1
Hilltop House - 3 Bd Great Location,t,Queen Anne,Seattle,WA,98109,47.63152635962670,-122.35628277607000,House,250.00,t,98
Centrally located place - Queen Ann,f,Queen Anne,Seattle,WA,98109,47.64017716917170,-122.34652263514200,Apartment,39.00,t,2
"Beautiful & Modern, Great Location",f,Queen Anne,Seattle,WA,98109,47.64290503084550,-122.34670499078100,Apartment,69.00,t,28
Between Fremont & Downtown! Retro,f,Queen Anne,Seattle,WA,98109,47.64075557421940,-122.34287656419700,Apartment,145.00,t,17
Seattle + free parking + quiet,t,Queen Anne,Seattle,WA,98109,47.63544455882170,-122.35551660487100,Apartment,98.00,t,139
Cozy Apartment near Bumbershoot,f,,Seattle,WA,98109,47.642697171642600,-122.3436911432720,Apartment,130.00,t,5
"Elegant, Spacious Urban Apartment",f,,Seattle,WA,98109,47.638923009567300,-122.34282687028400,Apartment,85.00,t,15
Studio at Mibbett Hollow -Private,f,Queen Anne,Seattle,WA,98109,47.642912112464500,-122.34468331995200,Boat,85.00,t,1
World Travelers Welcome to Seattle!,f,Queen Anne,Seattle,WA,98109,47.63934586006100,-122.34313235161400,Apartment,73.00,t,0
Quiet apartment Queen Anne,f,Queen Anne,Seattle,WA,98109,47.63507292926040,-122.35459413199000,Apartment,150.00,t,5
Downtown Seattle Apt 93 walk score!,f,Lower Queen Anne,Seattle,WA,98109,47.62857355428280,-122.35590915697200,Apartment,85.00,t,0
Top of Queen Anne 3 Bed / 2 Bath,f,Queen Anne,Seattle,WA,98109,47.63793825819440,-122.35072564856800,House,190.00,t,3
Cozy Condo in Lower Queen Anne.,t,,Seattle,WA,98109,47.629309308133600,-122.34413623476500,Apartment,68.00,t,17
"View, Location and Plenty of Space",t,Queen Anne,Seattle,WA,98109,47.63050640341460,-122.34502206933200,Apartment,149.00,t,31
